,Suicide_rate,Suicide_rate,Suicide_rate,Suicide_rate,HDI,GDP_per_capita
,mean,median,std,count,mean,median
continent,,,,,,
Africa,7.417,6.66,3.976,53,0.578,1388.847
America,8.508,6.74,6.447,35,0.778,8233.345
Asia,6.49,4.41,5.289,48,0.763,4771.723
Europe,12.996,12.33,5.179,41,0.898,21027.249
Oceania,14.234,15.65,6.01,14,0.718,4435.078
