Country Name,ISO3,Year,income_group_auto,continent,Low_data_quality_flag,HDI_sq,Suicide_rate_lag1,HDI_lag1,Low_data_quality_flag_panel,HDI_imputed_x,HDI_imputed_method_x,Suicide_rate_imputed_x,Suicide_rate_imputed_method_x,GDP_per_capita_imputed_x,GDP_per_capita_imputed_method_x,HDI_growth,Suicide_change,Suicide_per_HDI,HDI,HDI_imputed_y,HDI_imputed_method_y,Suicide_rate,Suicide_rate_imputed_y,Suicide_rate_imputed_method_y,GDP_per_capita,GDP_per_capita_imputed_y,GDP_per_capita_imputed_method_y,log_GDP_per_capita,log_GDP_per_capita_imputed,log_GDP_per_capita_imputed_method,income_group_auto_filled,continent_filled,Low_data_quality_flag_filled,num_imputed_numeric,imputation_methods,HDI_centered,HDI_lag1_imputed,Suicide_rate_lag1_imputed,GDP_per_capita_lag1,GDP_per_capita_lag1_imputed,log_GDP_per_capita_lag1,log_GDP_per_capita_lag1_imputed,HDI_pct_change,Suicide_rate_pct_change,GDP_per_capita_pct_change,HDI_roll3,Suicide_rate_roll3,HDI_z_year,Suicide_rate_z_year,GDP_per_capita_z_year,log_GDP_per_capita_z_year,data_quality_summary
Argentina,ARG,2019,Upper-Middle,America,✅ Sufficient data,0.727609,,,⚠️ Low data reliability,False,original,True,interpolated,False,original,0.019,0.0,12.907385697538102,0.853,False,original,11.01,False,original,12577.970303337312,False,original,9.439702174100288,False,original,True,True,True,0,,0.1556944908180301,True,True,,True,,True,,,,0.853,11.01,1.0418470301350653,0.5375074796348887,0.5309939731139333,0.8370698101627221,⚠️ Low data reliability | imputed_vars=0 | methods=
Argentina,ARG,2020,Upper-Middle,America,✅ Sufficient data,0.7072809999999999,11.01,0.853,✅ Sufficient data,False,original,False,original,False,original,-0.012,0.0,13.091557669441142,0.841,False,original,11.01,False,original,12577.970303337312,False,original,9.439702174100288,False,original,True,True,True,0,,0.1436944908180301,False,False,12577.970303337312,False,9.439702174100288,False,-0.014067995310668269,0.0,0.0,0.847,11.01,1.119650893118937,0.5597593492345779,0.6524442733539858,0.9534236841525348,✅ Sufficient data | imputed_vars=0 | methods=
Argentina,ARG,2022,Upper-Middle,America,✅ Sufficient data,0.7208009999999999,11.01,0.841,⚠️ Low data reliability,False,original,True,interpolated,False,original,0.005,0.0,12.332155477031804,0.849,False,original,10.47,False,original,12577.970303337312,False,original,9.439702174100288,False,original,True,True,True,0,,0.1516944908180301,False,False,12577.970303337312,False,9.439702174100288,False,0.009512485136742077,-0.049046321525885506,0.0,0.8476666666666667,10.83,1.1380190542728512,0.46728469201243894,0.6682700824518055,0.9639533478479625,⚠️ Low data reliability | imputed_vars=0 | methods=
Argentina,ARG,2023,Upper-Middle,America,✅ Sufficient data,0.748225,10.47,0.849,⚠️ Low data reliability,False,original,True,interpolated,False,original,0.016,0.0,12.104046242774569,0.865,False,original,10.47,False,original,12577.970303337312,False,original,9.439702174100288,False,original,True,True,True,0,,0.16769449081803012,False,False,12577.970303337312,False,9.439702174100288,False,0.018845700824499323,0.0,0.0,0.8516666666666666,10.65,1.1171128926642722,0.4774850627285153,0.6478063251282714,0.944847172474908,⚠️ Low data reliability | imputed_vars=0 | methods=
Armenia,ARM,2019,Lower-Middle,Asia,✅ Sufficient data,0.6225210000000001,,,⚠️ Low data reliability,False,original,True,interpolated,False,original,0.05,0.0,7.097591888466412,0.789,False,original,5.6,False,original,4291.837438532645,False,original,8.364470227574918,False,original,True,True,True,0,,0.09169449081803016,True,True,,True,,True,,,,0.789,5.6,0.5809551541410375,-0.5207206422121753,-0.49193437354947106,-0.09376585667075732,⚠️ Low data reliability | imputed_vars=0 | methods=
Armenia,ARM,2020,Lower-Middle,Asia,✅ Sufficient data,0.591361,5.6,0.789,✅ Sufficient data,False,original,False,original,False,original,-0.02,0.0,7.282184655396619,0.769,False,original,5.6,False,original,4291.837438532645,False,original,8.364470227574918,False,original,True,True,True,0,,0.07169449081803014,False,False,4291.837438532645,False,8.364470227574918,False,-0.025348542458808687,0.0,0.0,0.779,5.6,0.5888422306374282,-0.5106379598547157,-0.4094569652007298,0.009515353956131761,✅ Sufficient data | imputed_vars=0 | methods=
Armenia,ARM,2022,Lower-Middle,Asia,✅ Sufficient data,0.617796,5.6,0.769,⚠️ Low data reliability,False,original,True,interpolated,False,original,0.012,0.0,7.035623409669212,0.786,False,original,5.53,False,original,4291.837438532645,False,original,8.364470227574918,False,original,True,True,True,0,,0.08869449081803016,False,False,4291.837438532645,False,8.364470227574918,False,0.022106631989596837,-0.012499999999999845,0.0,0.7813333333333334,5.576666666666667,0.6892713919238712,-0.5126470505802462,-0.39818695137872034,0.03113250517621127,⚠️ Low data reliability | imputed_vars=0 | methods=
Armenia,ARM,2023,Lower-Middle,Asia,✅ Sufficient data,0.6577210000000001,5.53,0.786,⚠️ Low data reliability,False,original,True,interpolated,False,original,0.025,0.0,6.818742293464858,0.811,False,original,5.53,False,original,4291.837438532645,False,original,8.364470227574918,False,original,True,True,True,0,,0.11369449081803018,False,False,4291.837438532645,False,8.364470227574918,False,0.03180661577608146,0.0,0.0,0.7886666666666667,5.553333333333334,0.7316633538894372,-0.5175895454344166,-0.41002814551801675,0.02116173418078873,⚠️ Low data reliability | imputed_vars=0 | methods=
Antigua and Barbuda,ATG,2019,Upper-Middle,America,✅ Sufficient data,0.690561,,,⚠️ Low data reliability,False,original,True,interpolated,False,original,0.0229999999999999,0.0,1.7930204572803852,0.831,False,original,1.49,False,original,17011.981287785093,False,original,9.741673156430824,False,original,True,True,True,0,,0.1336944908180301,True,True,,True,,True,,,,0.831,1.49,0.8834154477621179,-1.3246610453159522,1.0783754355418187,1.0984881595805729,⚠️ Low data reliability | imputed_vars=0 | methods=
Antigua and Barbuda,ATG,2020,Upper-Middle,America,✅ Sufficient data,0.6723999999999999,1.49,0.831,✅ Sufficient data,False,original,False,original,False,original,-0.011,0.0,1.817073170731708,0.82,False,original,1.49,False,original,17011.981287785093,False,original,9.741673156430824,False,original,True,True,True,0,,0.12269449081803008,False,False,17011.981287785093,False,9.741673156430824,False,-0.013237063778580027,0.0,0.0,0.8254999999999999,1.49,0.9648316998951634,-1.3238233462423306,1.2206806066319107,1.2185133949079416,✅ Sufficient data | imputed_vars=0 | methods=
