Country Name,Year,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,HDI,Suicide Rate
"Congo, Rep.",2020,41.7661915552113,55.4746344404511,,
"Congo, Rep.",2021,41.5436435019075,55.658794032704,,
Cook Islands,2020,,,,11.63
Cook Islands,2021,,,,9.17
Costa Rica,2019,21.1293168479945,68.7652107333185,0.811,8.1
Costa Rica,2020,20.7362762001621,68.778633459931,0.811,8.98
Costa Rica,2021,20.2971746471706,68.8374526616913,0.804,9.85
Cote d'Ivoire,2019,42.2978547625051,55.2137233737626,,
Cote d'Ivoire,2020,42.1806135159683,55.3233038967629,,
Cote d'Ivoire,2021,41.9798856848812,55.5125937101364,,
Croatia,2019,14.5349944918069,64.2827891136582,0.866,16.4
Croatia,2020,14.451772123022,63.8820518579105,0.86,14.24
Croatia,2021,14.3800403097378,63.519292362808,0.867,14.31
Cuba,2019,15.9515574903218,68.6787371406008,0.766,14.5
Cuba,2020,15.8354728205638,68.5249769289699,0.759,15.86
Cuba,2021,15.7659497785886,68.4894721744236,0.742,15.83
Curacao,2019,16.493091277441,69.3668455179036,,
Curacao,2020,16.3194932384957,68.7533104887092,,
Curacao,2021,15.9399291474763,68.7172347549706,,
Cyprus,2019,15.9283857612452,70.6890608830614,0.901,3.6
Cyprus,2020,15.9491955254282,70.4395285842361,0.9,4.01
Cyprus,2021,15.9894588093829,70.1591161068193,0.901,4.04
Czechia,2019,15.9113632326295,64.1400490294769,,
Czechia,2020,16.0028177853172,63.7032085719896,,
Czechia,2021,16.0689157611579,63.3939300705344,,
DR Congo,2019,,,0.476,6.7
DR Congo,2020,,,0.477,8.08
DR Congo,2021,,,0.475,8.12
Denmark,2019,16.4286530578059,63.8569667124335,0.946,10.7
Denmark,2020,16.3064495938459,63.6927358686314,0.946,11.71
Denmark,2021,16.1739311718656,63.5779425764326,0.947,11.27
Djibouti,2019,31.5752877949939,64.0188976117585,0.508,9.6
Djibouti,2020,31.0085564589208,64.5163698319336,0.512,5.62
Djibouti,2021,30.4978470418676,64.9610969205742,0.512,5.63
Dominica,2019,19.1903418507524,68.8415671658282,0.745,
Dominica,2020,18.8462847587054,68.9683749426546,0.738,4.18
Dominica,2021,18.5254903127883,69.0634207315259,0.737,4.23
Dominican Republic,2019,27.9439906771072,65.4731826616995,0.765,4.9
Dominican Republic,2020,27.6825804165948,65.5074489249021,0.76,5.41
Dominican Republic,2021,27.4364069035797,65.5342478167008,0.756,5.39
Early-demographic dividend,2019,29.097293291258104,65.03870153131491,,
Early-demographic dividend,2020,28.745786363414503,65.24023152570514,,
Early-demographic dividend,2021,28.412075176479966,65.46570647010923,,
East Asia & Pacific,2019,19.92176806976441,68.50818299946461,,
East Asia & Pacific,2020,19.68426735464413,68.29826286707639,,
East Asia & Pacific,2021,19.36157219708525,68.19292870375718,,
East Asia & Pacific (IDA & IBRD countries),2019,20.72588209110779,68.93861661423985,,
East Asia & Pacific (IDA & IBRD countries),2020,20.47384767711005,68.73508348966776,,
East Asia & Pacific (IDA & IBRD countries),2021,20.12659378901439,68.6518215956348,,
East Asia & Pacific (excluding high income),2019,20.70598819753912,68.95119050212969,,
East Asia & Pacific (excluding high income),2020,20.456576007765623,68.74863143556418,,
East Asia & Pacific (excluding high income),2021,20.113326192619795,68.66427824161144,,
Ecuador,2019,26.8591794998639,65.732908693337,0.758,7.6
Ecuador,2020,26.3938617118386,66.0443856227703,0.734,8.4
Ecuador,2021,25.9766482079736,66.352985667233,0.746,8.51
Egypt,2019,,,0.724,3.0
Egypt,2020,,,0.729,1.02
Egypt,2021,,,0.726,1.01
"Egypt, Arab Rep.",2019,33.7421026726152,61.6643683303097,,
"Egypt, Arab Rep.",2020,33.4741409316525,61.8346774314352,,
"Egypt, Arab Rep.",2021,33.1918381396874,62.0672499568481,,
El Salvador,2019,26.6748281488368,65.6988091655561,0.676,6.1
El Salvador,2020,26.3333356590365,65.9569342324021,0.666,8.11
El Salvador,2021,25.9958408074195,66.2417157632504,0.669,8.32
Equatorial Guinea,2019,37.9852554549608,58.5734625731285,0.653,7.9
Equatorial Guinea,2020,37.8951317778334,58.6219904414209,0.65,6.86
Equatorial Guinea,2021,37.8353768351076,58.6438433544947,0.647,6.89
Eritrea,2019,40.9911412711708,54.941278207416,0.487,10.9
Eritrea,2020,40.4027107465035,55.5062854906639,0.49,9.58
Eritrea,2021,39.7738571295956,56.1255310530798,0.49,9.66
Estonia,2019,16.4349537597936,63.6685115518553,0.893,14.9
Estonia,2020,16.4383705875783,63.3615345768253,0.891,15.08
Estonia,2021,16.3814966703573,63.1847055320839,0.89,15.19
Eswatini,2019,35.1175210234313,61.0868194400419,0.623,29.4
Eswatini,2020,34.6861547400312,61.4389935018795,0.622,18.87
Eswatini,2021,34.2849932475187,61.7921031399556,0.612,18.42
Ethiopia,2019,40.8607547349708,56.1010549033282,0.485,5.4
Ethiopia,2020,40.450755462362,56.4801956284521,0.489,6.12
Ethiopia,2021,40.0647936913075,56.8415943336368,0.489,6.17
Euro area,2019,14.907559137253438,64.27247312027652,,
Euro area,2020,14.80475225603877,64.11158528226757,,
Euro area,2021,14.689787069789432,63.937186515385264,,
Europe & Central Asia,2019,17.884912634352016,65.5334823968339,,
Europe & Central Asia,2020,17.875958022672485,65.2586296888812,,
Europe & Central Asia,2021,17.84901717303071,65.03898219072185,,
Europe & Central Asia (IDA & IBRD countries),2019,20.25976626324179,66.8674011650431,,
Europe & Central Asia (IDA & IBRD countries),2020,20.32762405813743,66.47876109575965,,
Europe & Central Asia (IDA & IBRD countries),2021,20.38228915900237,66.1877524871737,,
Europe & Central Asia (excluding high income),2019,23.104416023126397,66.82466433216983,,
Europe & Central Asia (excluding high income),2020,23.163511171559403,66.49571640832117,,
Europe & Central Asia (excluding high income),2021,23.200953164907386,66.23379690561762,,
European Union,2019,15.094831193150895,64.5301380111884,,
European Union,2020,15.02333143837055,64.30401280356548,,
European Union,2021,14.929489030705383,64.09832552600633,,
Faroe Islands,2019,20.8742030998331,61.637876990442,,
Faroe Islands,2020,20.7505728656594,61.563328991281,,
Faroe Islands,2021,20.6238273921201,61.5403377110694,,
Fiji,2019,28.6223240913346,65.5568179892983,0.73,9.0
Fiji,2020,28.3052975912687,65.7076297074308,0.722,9.01
Fiji,2021,28.0081181528312,65.8882134064062,0.715,8.89
Finland,2019,15.876109406441,62.0624967514881,0.939,15.3
Finland,2020,15.6603302365519,61.8489868728584,0.939,16.38
Finland,2021,15.4543387339099,61.6707046917791,0.941,15.67
Fragile and conflict affected situations,2019,40.12764335741936,55.89952836875503,,
Fragile and conflict affected situations,2020,39.90400792577829,56.09642994937693,,
Fragile and conflict affected situations,2021,39.66498582927165,56.32031286121915,,
France,2019,17.6087445052606,61.9811666181521,0.905,13.8
France,2020,17.439158040113,61.8134010588151,0.9,14.27
France,2021,17.2452061536194,61.7040398746753,0.906,13.72
French Polynesia,2019,21.8328623624045,69.3920264054316,,
French Polynesia,2020,21.3067988496073,69.4868360260593,,
French Polynesia,2021,20.8571009893063,69.4900140104077,,
Gabon,2019,36.7756306980779,59.2317653240247,0.702,8.4
Gabon,2020,36.8180039172647,59.1889307348553,0.704,9.82
Gabon,2021,36.8222492996657,59.1823317998487,0.687,9.67
Gambia,2019,,,0.492,4.8
Gambia,2020,,,0.492,5.58
Gambia,2021,,,0.49,5.58
"Gambia, The",2019,42.4245698953617,54.8603411531217,,
"Gambia, The",2020,42.0440797882606,55.1896892099263,,
"Gambia, The",2021,41.6239924581024,55.554725244608,,
Georgia,2019,20.8031664152437,64.4923615039024,0.816,9.2
Georgia,2020,21.0003324834193,64.1121823294811,0.807,8.8
Georgia,2021,21.173350269015,63.8378060056736,0.809,8.64
Germany,2019,13.6625971101334,64.709009583285,0.951,12.3
Germany,2020,13.7617263334875,64.3935455490144,0.948,12.58
Germany,2021,13.8577309430111,64.007731691245,0.948,12.31
Ghana,2019,37.5512865197466,59.0123019186988,0.599,6.6
Ghana,2020,37.2244577857325,59.306835725214,0.601,5.78
Ghana,2021,36.8759587762905,59.6173505277661,0.6,5.68
Gibraltar,2019,18.1481377134164,64.3911647038936,,
Gibraltar,2020,18.0590495673569,64.5163519752301,,
Gibraltar,2021,18.0677455675082,64.6038227274577,,
Greece,2019,14.2956683003259,63.5769463955355,0.89,5.1
Greece,2020,14.1702935939493,63.4362736718399,0.887,5.23
Greece,2021,14.0226990515013,63.1383476119661,0.887,5.22
Greenland,2019,20.8259040011411,70.5896512374296,,
Greenland,2020,20.8730463003415,70.2823669968527,,64.6
Greenland,2021,20.8425898664383,69.9713605096223,,59.62
Grenada,2019,21.2089859158573,68.032832822476,0.79,0.7
Grenada,2020,20.90019855425,68.1139924876011,0.786,4.65
Grenada,2021,20.5677557579004,68.2043920728441,0.788,4.63
Guam,2019,25.7638682883417,63.9050603184021,,
Guam,2020,25.8275879080896,63.4011272956006,,18.33
Guam,2021,25.9158370487999,62.8904293654187,,17.08
Guatemala,2019,34.3505691205216,61.1806848214015,0.645,5.9
Guatemala,2020,33.8046722693539,61.6502064214905,0.638,5.42
Guatemala,2021,33.2663206192998,62.1568682212309,0.63,5.43
Guinea,2019,42.4059864606939,54.1370890415215,0.47,7.0
Guinea,2020,42.1447077644514,54.4109522695187,0.471,5.09
