Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
St. Vincent and the Grenadines,8233.344872318325,0.2625,0.798,1.0,0.8,✅ Sufficient data,0.636804,9.01594763544313,,,,Upper-Middle,VCT,America,1.0
Sudan,1070.4272705078138,3.2800000000000002,0.511,1.0,0.8,✅ Sufficient data,0.261121,6.975813165981246,,,,Low,SDN,Africa,1.0
Suriname,7722.458917166738,25.8875,0.722,1.0,0.8,✅ Sufficient data,0.521284,8.951888104890822,,,,Upper-Middle,SUR,America,1.0
Sweden,53314.53415516367,14.107500000000002,0.959,1.0,0.8,✅ Sufficient data,0.919681,10.883964258819878,,,,High,SWE,Europe,1.0
Switzerland,87556.69967092044,14.0475,0.97,1.0,0.8,✅ Sufficient data,0.9409,11.380041858725887,,,,High,CHE,Europe,1.0
Syrian Arab Republic,750.2700837013927,0.6,0.564,1.0,0.8,✅ Sufficient data,0.31809599999999993,6.620433253307592,,,,Low,SYR,Asia,1.0
Tajikistan,1198.9747385164342,2.4825,0.691,1.0,0.8,✅ Sufficient data,0.47748099999999993,7.089222086011931,,,,Low,TJK,Asia,1.0
Tanzania,1048.388818359376,4.550000000000001,0.555,1.0,0.8,✅ Sufficient data,0.30802500000000005,6.955009805958739,,,,Low,TZA,Africa,1.0
Thailand,6236.8471891592535,14.59,0.798,1.0,0.8,✅ Sufficient data,0.636804,8.738230075530009,,,,Lower-Middle,THA,Asia,1.0
Timor-Leste,1657.7381140876569,3.5500000000000003,0.634,1.0,0.8,✅ Sufficient data,0.40195600000000004,7.413209370316868,,,,Low,TLS,Asia,1.0
Togo,821.4053839100449,9.572500000000002,0.571,1.0,0.8,✅ Sufficient data,0.32604099999999997,6.711016756054233,,,,Low,TGO,Africa,1.0
Tonga,4620.511767340204,4.6875,0.769,1.0,0.8,✅ Sufficient data,0.591361,8.438260750092562,,,,Lower-Middle,TON,Oceania,1.0
Trinidad and Tobago,16285.667334740996,13.7025,0.807,1.0,0.8,✅ Sufficient data,0.6512490000000001,9.698040695362664,,,,Upper-Middle,TTO,America,1.0
Tunisia,3983.672733169341,2.245,0.746,1.0,0.8,✅ Sufficient data,0.556516,8.289959470041559,,,,Lower-Middle,TUN,Africa,1.0
Turkiye,12781.37142560359,3.1475,0.853,1.0,0.8,✅ Sufficient data,0.727609,9.455744032471808,,,,Upper-Middle,TUR,Asia,1.0
Turkmenistan,6988.793210327729,6.8100000000000005,0.764,1.0,0.8,✅ Sufficient data,0.583696,8.85206317516241,,,,Upper-Middle,TKM,Asia,1.0
Tuvalu,4249.644063600732,5.655,0.689,1.0,0.0,⚠️ Low data reliability,0.47472099999999995,8.354590508670253,,,,Lower-Middle,TUV,Oceania,1.0
Uganda,917.1089985444278,5.0775,0.582,1.0,0.8,✅ Sufficient data,0.33872399999999997,6.821226329472304,,,,Low,UGA,Africa,1.0
Ukraine,2266.425610351564,22.5375,0.779,1.0,0.8,✅ Sufficient data,0.6068410000000001,7.725959248466389,,,,Lower-Middle,UKR,Europe,1.0
United Arab Emirates,42124.56343493583,2.2649999999999997,0.94,1.0,0.8,✅ Sufficient data,0.8835999999999999,10.648386304038606,,,,High,ARE,Asia,1.0
United Kingdom,46051.50987436437,9.25,0.946,1.0,0.8,✅ Sufficient data,0.8949159999999999,10.737515828862872,,,,High,GBR,Europe,1.0
United States,61506.94857141797,15.285,0.938,1.0,0.8,✅ Sufficient data,0.8798439999999998,11.0269054323134,,,,High,USA,America,1.0
Uruguay,17491.021424429928,23.535,0.862,1.0,0.8,✅ Sufficient data,0.7430439999999999,9.769442966789391,,,,Upper-Middle,URY,America,1.0
Uzbekistan,3327.2047615080505,9.445,0.74,1.0,0.8,✅ Sufficient data,0.5476,8.10988781951329,,,,Lower-Middle,UZB,Asia,1.0
Vanuatu,2825.0613199601803,15.842500000000001,0.621,1.0,0.8,✅ Sufficient data,0.385641,7.94628534952556,,,,Lower-Middle,VUT,Oceania,1.0
"Venezuela, RB",3069.371632585983,7.645000000000001,0.709,0.0,0.8,⚠️ Low data reliability,0.5026809999999999,8.029228139692027,,,,Lower-Middle,VEN,America,1.0
Viet Nam,3313.681945211786,7.2825,0.766,1.0,0.8,✅ Sufficient data,0.586756,8.105815220300467,,,,Lower-Middle,VNM,Asia,1.0
West Bank and Gaza,3174.028802252782,0.6575,0.674,1.0,0.8,✅ Sufficient data,0.45427600000000007,8.062756975478951,,,,Lower-Middle,PSE,Asia,1.0
"Yemen, Rep.",983.9819580269593,4.2625,0.47,1.0,0.8,✅ Sufficient data,0.22089999999999999,6.891607561545703,,,,Low,YEM,Asia,1.0
Zambia,1283.8246111315427,6.1025,0.595,1.0,0.8,✅ Sufficient data,0.354025,7.157598879227921,,,,Low,ZMB,Africa,1.0
Zimbabwe,1347.6908149819424,16.2,0.598,1.0,0.8,✅ Sufficient data,0.357604,7.2061478994235095,,,,Low,ZWE,Africa,1.0
